"id,case_id,old_channel_id,drive_folder_id,error_message,failed_at"
"116,7,04efce28-7c01-4812-8578-0c5c3d96a1b4,1OMErvKx1NSPkdZdtBXExgvVh4WUW5EFF,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:15.009394+00"
"117,7,6d5d8f9c-2870-408b-b1e0-3b2ae9416fd7,15x38kn3GhF2Lhs-PsU1zdKot8HzgLhtm,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:17.90731+00"
"118,7,00d172ac-13d9-40e3-8a07-552126f696aa,1nkyCM-cyylWPNFMqDB2EZ7C8uz0lKnP6,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:19.309027+00"
"119,7,067c3bef-2efb-493a-9dbc-34db01f2c89b,1s3BGzLVDMbTEfAdifS4jb15k3YFIX75m,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:20.509405+00"
"120,7,a00ed0c3-a3ed-4bb0-9970-4f76fb01194e,12vlTNpHcmvHkIaGYhI_myl3m6JkgLnDy,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:21.909026+00"
"121,7,53bc2d6e-5671-4d6e-b0ac-2f62c748ad68,1G1InrE95a3qbdW5aBceSt69ToczScbWs,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:23.309262+00"
"122,7,1acec6c1-5e8f-4bc9-8a72-3e06da1666e7,1IX8hGvKruGdNTxOt2Wiq777Ml4l7dRLX,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:24.608623+00"
"123,7,a5f82e59-0133-437d-9333-823bba94880d,1Y2an0UELMe546kUYnSwfainLV0t7tibf,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:26.008538+00"
"124,7,dccbd1e7-bd5f-4781-a2d8-2d491d4ac23f,1DhB1EpPU19gVx-52TYt7hqLOBCWkyqOy,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:28.008044+00"
"125,7,28ec1ef5-d442-40b7-beae-16ec6898fc49,17Wa1xulqmpCyLZZaYzgU0euMHS816DRU,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:29.208965+00"
"126,7,88c8ac71-5b6b-47ac-9cf7-ba1e637b0749,1ZVhPsV42n2soqhGLs2eQvRo8CS_9DYeH,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:31.109352+00"
"127,7,c96b7f4e-2e52-4071-8b19-ff3b1238128a,1EuYAO1QV96gRNnEFnufzh0wMne_O7HoV,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:32.409311+00"
"128,7,9aeb7753-34ed-4e2e-b8a0-3819796d36b2,1X9GADIF-9K6FbYI6fXTkxT3OFZD4Q-ri,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:34.107194+00"
"96,7,b6901679-770d-4eb1-aa28-0a20eb1de6ef,1n3Bq1gbPvwK1fYN0vJYJskCYLlkok5vC,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:38.518778+00"
"97,7,f089262a-de59-4f16-b5a4-092fee0e152c,1G9eYPkn2uHK65rleapc1DY3bSgFT5ZWB,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:11:39.518816+00"
"129,7,34bc2270-9eee-49a8-b9bc-c7b0a3c75633,1-lfDzZ7tfuMtJHmmsO-rsvVOWCvMKYVj,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:35.50789+00"
"130,7,6174cfe4-5057-4350-ac85-b34c36bdd8bc,1hm3G6uPp57r69rgT4XeIQa2iF6p87u1L,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:36.708907+00"
"131,8,7ec7075e-3cec-4da5-8246-b498956231be,1k-6zDGqWC_FOdm9n3LguuZAvhdv1vvJo,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:38.809992+00"
"132,8,239a7f94-6c3f-4263-b51a-a2ed1c24a51c,1fKzUp1hv7YRaZV4XJJehkY6wAmFeElgu,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:40.308678+00"
"133,8,7441557a-2b92-4894-9bc1-e579f1cf402d,1xjSGK3JDIjsglWONIhF0f_dkJaWeNwr1,Rate limit exceeded for creating file subscriptions.,2026-06-04 15:12:41.909295+00"
